naxos movie title,movie title,imdb movie title,year,genre
Mighty Ducks (The) (1992),Mighty Ducks,The Mighty Ducks,1992,"Comedy,Drama,Family"
Mistress (1992),Mistress,Mistress,1992,"Comedy,Drama"
Out on a Limb (1992),Out on a Limb,Out on a Limb,1992,Comedy
People Under the Stairs (The) (1991),People Under the Stairs,The People Under the Stairs,1991,"Comedy,Horror,Mystery"
Peter's Friends (1992),Peter's Friends,Peter's Friends,1992,"Comedy,Drama,Romance"
Power of One (The) (1992),Power of One,The Power of One,1992,"Drama,Sport"
Raising Cain (1992),Raising Cain,Raising Cain,1992,"Crime,Drama,Horror"
Sneakers (1992),Sneakers,Sneakers,1992,"Comedy,Crime,Drama"
Stop! Or My Mom Will Shoot (1992),Stop! Or My Mom Will Shoot,Stop! Or My Mom Will Shoot,1992,"Action,Comedy"
Strictly Ballroom (1992),Strictly Ballroom,Strictly Ballroom,1992,"Comedy,Drama,Music"
This Is My Life (1992),This Is My Life,This Is My Life,1992,Drama
Toys (1992),Toys,Toys,1992,"Adventure,Comedy,Drama"
Wayne's World (1992),Wayne's World,Wayne's World,1992,"Comedy,Music"
Whispers in the Dark (1992),Whispers in the Dark,Whispers in the Dark,1992,"Drama,Mystery,Thriller"
Year of the Comet (1992),Year of the Comet,Year of the Comet,1992,"Action,Adventure,Comedy"
Addams Family Values (1993),Addams Family Values,Addams Family Values,1993,"Comedy,Fantasy"
Age of Innocence (The) (1993),Age of Innocence,The Age of Innocence,1993,"Drama,Romance"
Alive (1993),Alive,Alive,1993,"Biography,Drama,Thriller"
Beyond Bedlam (1994),Beyond Bedlam,Beyond Bedlam,1994,"Comedy,Horror"
Boxing Helena (1993),Boxing Helena,Boxing Helena,1993,"Drama,Mystery,Romance"
Calendar (1993),Calendar,Calendar,1993,"Comedy,Drama,Romance"
Carlito's Way (1993),Carlito's Way,Carlito's Way,1993,"Crime,Drama,Thriller"
Cemetery Club (The) (1993),Cemetery Club,The Cemetery Club,1993,Comedy
Cool Runnings (1993),Cool Runnings,Cool Runnings,1993,"Adventure,Comedy,Family"
Even Cowgirls Get the Blues (1993),Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,1993,"Comedy,Drama,Romance"
Fearless (1993),Fearless,Fearless,1993,"Drama,Thriller"
Firm (The) (1993),Firm,The Firm,1993,"Drama,Mystery,Thriller"
Fortress (1992),Fortress,Fortress,1992,"Action,Crime,Sci-Fi"
Ghost in the Machine (1993),Ghost in the Machine,Ghost in the Machine,1993,"Horror,Sci-Fi,Thriller"
Groundhog Day (1993),Groundhog Day,Groundhog Day,1993,"Comedy,Fantasy,Romance"
Grumpy Old Men (1993),Grumpy Old Men,Grumpy Old Men,1993,"Comedy,Drama,Romance"
Hard Target (1993),Hard Target,Hard Target,1993,"Action,Crime,Thriller"
Heart and Souls (1993),Heart and Souls,Heart and Souls,1993,"Comedy,Drama,Fantasy"
Household Saints (1993),Household Saints,Household Saints,1993,Drama
Wedding Banquet (The) (1993),Wedding Banquet,The Wedding Banquet,1993,"Comedy,Drama,Romance"
In the Line of Fire (1993),In the Line of Fire,In the Line of Fire,1993,"Action,Crime,Drama"
Joy Luck Club (1993),Joy Luck Club,The Joy Luck Club,1993,Drama
Kalifornia (1993),Kalifornia,Kalifornia,1993,"Crime,Drama,Thriller"
Kika (1993),Kika,Kika,1993,Comedy
Last Action Hero (The) (1993),Last Action Hero,Last Action Hero,1993,"Action,Adventure,Comedy"
M. Butterfly (1993),M. Butterfly,M. Butterfly,1993,"Drama,Romance"
Celestial Clockwork (1995),Celestial Clockwork,Celestial Clockwork,1995,Comedy
My Life (1993),My Life,My Life,1993,Drama
Needful Things (1993),Needful Things,Needful Things,1993,"Crime,Drama,Fantasy"
Orlando (1992),Orlando,Orlando,1992,"Biography,Drama,Fantasy"
Pelican Brief (1993),Pelican Brief,The Pelican Brief,1993,"Crime,Drama,Mystery"
Philadelphia (1993),Philadelphia,Philadelphia,1993,Drama
Remains of the Day (The) (1993),Remains of the Day,The Remains of the Day,1993,"Drama,Romance"
Robin Hood: Men in Tights (1993),Robin Hood: Men in Tights,Robin Hood: Men in Tights,1993,"Adventure,Comedy,Musical"
Schindler's List (1993),Schindler's List,Schindler's List,1993,"Biography,Drama,History"
Shadowlands (1993),Shadowlands,Shadowlands,1993,"Biography,Drama,Romance"
Short Cuts (1993),Short Cuts,Short Cuts,1993,"Comedy,Drama"
Sister Act 2: Back in the Habit (1993),Sister Act 2: Back in the Habit,Sister Act 2: Back in the Habit,1993,"Comedy,Family,Music"
Six Degrees of Separation (1993),Six Degrees of Separation,Six Degrees of Separation,1993,"Comedy,Drama,Mystery"
Splitting Heirs (1993),Splitting Heirs,Splitting Heirs,1993,"Comedy,Crime"
Swing Kids (1993),Swing Kids,Swing Kids,1993,"Drama,Music"
Tango (1993),Tango,Tango,1993,Comedy
Three of Hearts (1993),Three of Hearts,Three of Hearts,1993,"Comedy,Romance"
True Romance (1993),True Romance,True Romance,1993,"Crime,Drama,Romance"
Wayne's World 2 (1993),Wayne's World 2,Wayne's World 2,1993,"Comedy,Music"
Above Suspicion (1995),Above Suspicion,Above Suspicion,1995,"Drama,Thriller"
Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,1994,Comedy
"Adventures of Priscilla, Queen of the Desert (The) (1994)","Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",1994,"Comedy,Music"
Angie (1994),Angie,Angie,1994,"Comedy,Drama,Romance"
Boy Meets Girl (1994),Boy Meets Girl,Boy Meets Girl,1994,"Drama,Horror"
Camilla (1994),Camilla,Camilla,1994,Drama
Clear and Present Danger (1994),Clear and Present Danger,Clear and Present Danger,1994,"Action,Crime,Drama"
Colonel Chabert (1994),Colonel Chabert,Colonel Chabert,1994,"Drama,History,Romance"
Cowboy Way (The) (1994),Cowboy Way,The Cowboy Way,1994,"Action,Comedy,Crime"
D2: The Mighty Ducks (1994),D2: The Mighty Ducks,D2: The Mighty Ducks,1994,"Comedy,Drama,Family"
Death and the Maiden (1994),Death and the Maiden,Death and the Maiden,1994,"Drama,Mystery,Thriller"
Dumb and Dumber (1994),Dumb and Dumber,Dumb and Dumber,1994,Comedy
Ed Wood (1994),Ed Wood,Ed Wood,1994,"Biography,Comedy,Drama"
Exit to Eden (1994),Exit to Eden,Exit to Eden,1994,"Comedy,Crime,Romance"
Exotica (1994),Exotica,Exotica,1994,Drama
Forrest Gump (1994),Forrest Gump,Forrest Gump,1994,"Drama,Romance"
Four Weddings and a Funeral (1994),Four Weddings and a Funeral,Four Weddings and a Funeral,1994,"Comedy,Drama,Romance"
Guarding Tess (1994),Guarding Tess,Guarding Tess,1994,"Comedy,Drama"
Heavenly Creatures (1994),Heavenly Creatures,Heavenly Creatures,1994,"Biography,Crime,Drama"
Hudsucker Proxy (The) (1994),Hudsucker Proxy,The Hudsucker Proxy,1994,"Comedy,Drama,Fantasy"
I.Q. (1994),I.Q.,I.Q.,1994,"Comedy,Romance"
Imaginary Crimes (1994),Imaginary Crimes,Imaginary Crimes,1994,"Biography,Drama"
Immortal Beloved (1994),Immortal Beloved,Immortal Beloved,1994,"Biography,Drama,Music"
Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles,1994,"Drama,Fantasy,Horror"
Jason's Lyric (1994),Jason's Lyric,Jason's Lyric,1994,"Crime,Drama,Romance"
Jungle Book (The) (1994),Jungle Book,The Jungle Book,1994,"Adventure,Family,Romance"
Little Odessa (1994),Little Odessa,Little Odessa,1994,"Crime,Drama"
Little Women (G. Armstrong) (1994),Little Women,Little Women,1994,"Drama,Family,Romance"
Little Women (G. Armstrong) (1994),Little Women,Little Women,1994,"Drama,Family,Romance"
Madness of King George (The) (1994),Madness of King George,The Madness of King George,1994,"Biography,Comedy,Drama"
Maverick (1994),Maverick,Maverick,1994,"Action,Adventure,Comedy"
My Father the Hero (1994),My Father the Hero,My Father the Hero,1994,"Comedy,Romance"
Natural Born Killers (1994),Natural Born Killers,Natural Born Killers,1994,"Action,Crime,Drama"
Nina Takes a Lover (1994),Nina Takes a Lover,Nina Takes a Lover,1994,"Comedy,Romance"
Only You (1994),Only You,Only You,1994,"Comedy,Romance"
Princess Caraboo (1994),Princess Caraboo,Princess Caraboo,1994,"Comedy,Drama,History"
Quiz Show (1994),Quiz Show,Quiz Show,1994,"Biography,Drama,History"
Reality Bites (1994),Reality Bites,Reality Bites,1994,"Comedy,Drama,Romance"
Road to Wellville (The) (1994),Road to Wellville,The Road to Wellville,1994,"Comedy,Drama"
Safe Passage (1994),Safe Passage,Safe Passage,1994,Drama
Sensation (1994),Sensation,Sensation,1994,"Drama,Thriller"
Mad Dogs and Englishmen (1995),Mad Dogs and Englishmen,Mad Dogs and Englishmen,1995,"Drama,Mystery,Romance"
Shawshank Redemption (The) (1994),Shawshank Redemption,The Shawshank Redemption,1994,Drama
Silent Fall (1994),Silent Fall,Silent Fall,1994,"Drama,Mystery,Thriller"
Sleep with Me (1994),Sleep with Me,Sleep with Me,1994,"Comedy,Drama,Romance"
Tom & Viv (1994),Tom & Viv,Tom & Viv,1994,"Biography,Drama,Romance"
True Lies (1994),True Lies,True Lies,1994,"Action,Comedy,Thriller"
Eat Drink Man Woman (1994),Eat Drink Man Woman,Eat Drink Man Woman,1994,"Comedy,Drama,Romance"
Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995,"Adventure,Comedy,Crime"
American President (The) (1995),American President,The American President,1995,"Comedy,Drama,Romance"
Antonia's Line (1995),Antonia's Line,Antonia's Line,1995,"Comedy,Drama"
Assassins (1995),Assassins,Assassins,1995,"Action,Crime,Thriller"
Babe (1995),Babe,Babe,1995,"Comedy,Drama,Family"
Before Sunrise (1995),Before Sunrise,Before Sunrise,1995,"Drama,Romance"
Bridges of Madison County (The) (1995),Bridges of Madison County,The Bridges of Madison County,1995,"Drama,Romance"
Carrington (1995),Carrington,Carrington,1995,"Biography,Drama,Romance"
Casino (1995),Casino,Casino,1995,"Crime,Drama"
Clueless (1995),Clueless,Clueless,1995,"Comedy,Romance"
Congo (1995),Congo,Congo,1995,"Action,Adventure,Mystery"
Copycat (1995),Copycat,Copycat,1995,"Drama,Mystery,Thriller"
Crimson Tide (1995),Crimson Tide,Crimson Tide,1995,"Action,Drama,Thriller"
Die Hard with a Vengeance (1995),Die Hard with a Vengeance,Die Hard with a Vengeance,1995,"Action,Adventure,Thriller"
Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995,"Comedy,Fantasy,Horror"
Father of the Bride Part II (1995),Father of the Bride Part II,Father of the Bride Part II,1995,"Comedy,Family,Romance"
Forbidden Games (1995),Forbidden Games,Forbidden Games,1995,"Crime,Drama,Thriller"
Funny Bones (1995),Funny Bones,Funny Bones,1995,"Comedy,Drama"
Grumpier Old Men (1995),Grumpier Old Men,Grumpier Old Men,1995,"Comedy,Romance"
Heat (1995),Heat,Heat,1995,"Action,Crime,Drama"
Incredibly True Adventure of Two Girls in Love (The) (1995),Incredibly True Adventure of Two Girls in Love,The Incredibly True Adventure of Two Girls in Love,1995,"Comedy,Drama,Romance"
Jefferson in Paris (1995),Jefferson in Paris,Jefferson in Paris,1995,"Biography,Drama,History"
Jumanji (1995),Jumanji,Jumanji,1995,"Adventure,Comedy,Family"
Lord of Illusions (1995),Lord of Illusions,Lord of Illusions,1995,"Horror,Mystery,Thriller"
Love Lessons (1995),Love Lessons,Love Lessons,1995,"Drama,Romance,War"
Mad Love (1995),Mad Love,Mad Love,1995,"Comedy,Drama,Romance"
Miami Rhapsody (1995),Miami Rhapsody,Miami Rhapsody,1995,"Comedy,Romance"
Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,1995,"Action,Adventure,Family"
Net (The) (1995),Net,The Net,1995,"Action,Crime,Drama"
Nixon (1995),Nixon,Nixon,1995,"Biography,Drama,History"
Operation Dumbo Drop (1995),Operation Dumbo Drop,Operation Dumbo Drop,1995,"Action,Adventure,Comedy"
Poison Ivy II (1996),Poison Ivy II,Poison Ivy II,1996,"Drama,Thriller"
Richard III (1995),Richard III,Richard III,1995,"Drama,Sci-Fi,War"
Sabrina (1995),Sabrina,Sabrina,1995,"Comedy,Drama,Romance"
Scarlet Letter (The) (1995),Scarlet Letter,The Scarlet Letter,1995,"Drama,Romance"
Search and Destroy (1995),Search and Destroy,Search and Destroy,1995,"Action,Comedy,Drama"
Smoke (1995),Smoke,Smoke,1995,"Comedy,Drama"
Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,1995,"Crime,Drama,Thriller"
Underground (1995),Underground,Underground,1995,"Comedy,Drama,Fantasy"
Usual Suspects (The) (1995),Usual Suspects,The Usual Suspects,1995,"Crime,Drama,Mystery"
Wild Side (1995),Wild Side,Wild Side,1995,"Action,Thriller"
Young Poisoner's Handbook (The) (1995),Young Poisoner's Handbook,The Young Poisoner's Handbook,1995,"Crime,Drama"
Associate (The) (1996),Associate,The Associate,1996,Comedy
Basquiat (1996),Basquiat,Basquiat,1996,"Biography,Drama"
Brassed Off (1996),Brassed Off,Brassed Off,1996,"Comedy,Drama,Romance"
Breaking the Waves (1996),Breaking the Waves,Breaking the Waves,1996,Drama
Carried Away (1996),Carried Away,Carried Away,1996,"Drama,Romance"
Chamber (The) (1996),Chamber,The Chamber,1996,"Crime,Drama,Thriller"
Children of the Revolution (1996),Children of the Revolution,Children of the Revolution,1996,"Comedy,Drama,Romance"
Children of the Revolution (1996),Children of the Revolution,Children of the Revolution,1996,"Comedy,Drama,Romance"
D3: The Mighty Ducks (1996),D3: The Mighty Ducks,D3: The Mighty Ducks,1996,"Action,Comedy,Drama"
English Patient (The) (1996),English Patient,The English Patient,1996,"Drama,Romance,War"
Eye for an Eye (1996),Eye for an Eye,Eye for an Eye,1996,"Crime,Drama,Thriller"
Faithful (1996),Faithful,Faithful,1996,"Comedy,Crime,Drama"
High School High (1996),High School High,High School High,1996,"Comedy,Crime,Romance"
I Shot Andy Warhol (1996),I Shot Andy Warhol,I Shot Andy Warhol,1996,"Biography,Drama"
Jack (1996),Jack,Jack,1996,"Comedy,Drama,Fantasy"
Jingle All the Way (1996),Jingle All the Way,Jingle All the Way,1996,"Adventure,Comedy,Family"
Kolya (1996),Kolya,Kolya,1996,"Comedy,Drama,Music"
Larger Than Life (1996),Larger Than Life,Larger Than Life,1996,"Comedy,Family"
Lost Highway (1997),Lost Highway,Lost Highway,1997,"Mystery,Thriller"
Mind Games (1996),Mind Games,Mind Games,1996,Thriller
Mirror Has Two Faces (The) (1996),Mirror Has Two Faces,The Mirror Has Two Faces,1996,"Comedy,Drama,Romance"
Mission: Impossible (1996),Mission: Impossible,Mission: Impossible,1996,"Action,Adventure,Thriller"
Moll Flanders (1996),Moll Flanders,Moll Flanders,1996,"Drama,Romance"
Mother Night (1996),Mother Night,Mother Night,1996,"Drama,Romance,War"
Mystery Science Theater 3000: The Movie (1996),Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie,1996,"Comedy,Drama,Fantasy"
One Fine Day (1996),One Fine Day,One Fine Day,1996,"Comedy,Drama,Romance"
Overkill (I) (1996),Overkill,Overkill,1996,"Action,Thriller"
People vs. Larry Flynt (The) (1996),People vs. Larry Flynt,The People vs. Larry Flynt,1996,"Biography,Drama"
Portrait of a Lady (The) (1996),Portrait of a Lady,The Portrait of a Lady,1996,"Drama,Romance"
Primal Fear (1996),Primal Fear,Primal Fear,1996,"Crime,Drama,Mystery"
Set It Off (1996),Set It Off,Set It Off,1996,"Action,Crime,Drama"
Shine (1996),Shine,Shine,1996,"Biography,Drama,Music"
Slab Boys (The) (1997),Slab Boys,The Slab Boys,1997,Drama
Space Jam (1996),Space Jam,Space Jam,1996,"Adventure,Animation,Comedy"
Star Trek: First Contact (1996),Star Trek: First Contact,Star Trek: First Contact,1996,"Action,Adventure,Drama"
Stealing Beauty (1996),Stealing Beauty,Stealing Beauty,1996,"Drama,Mystery,Romance"
That Thing You Do! (1996),That Thing You Do!,That Thing You Do!,1996,"Comedy,Drama,Music"
Tin Cup (1996),Tin Cup,Tin Cup,1996,"Comedy,Drama,Romance"
Trainspotting (1996),Trainspotting,Trainspotting,1996,Drama
Twister (1996),Twister,Twister,1996,"Action,Adventure,Thriller"
Unhook the Stars (1996),Unhook the Stars,Unhook the Stars,1996,"Drama,Romance"
Up Close & Personal (1996),Up Close & Personal,Up Close & Personal,1996,"Drama,Romance"
Vol-au-vent (1996),Vol-au-vent,Vol-au-vent,1996,"Comedy,Romance"
Where Truth Lies (1996),Where Truth Lies,Where Truth Lies,1996,"Drama,Mystery,Thriller"
Affliction (1997),Affliction,Affliction,1997,"Drama,Mystery,Thriller"
Amistad (1997),Amistad,Amistad,1997,"Biography,Drama,History"
Anaconda (1997),Anaconda,Anaconda,1997,"Action,Adventure,Horror"
Anna Karenina (1997),Anna Karenina,Anna Karenina,1997,"Drama,Romance"
Apt Pupil (1998),Apt Pupil,Apt Pupil,1998,"Crime,Drama,Thriller"
Avengers (1998),Avengers,The Avengers,1998,"Action,Adventure,Sci-Fi"
Below Utopia (1997),Below Utopia,Below Utopia,1997,"Drama,Thriller"
Big Lebowski (The) (1998),Big Lebowski,The Big Lebowski,1998,"Comedy,Crime,Sport"
Blues Brothers 2000 (1998),Blues Brothers 2000,Blues Brothers 2000,1998,"Action,Comedy,Crime"
Boogie Nights (1997),Boogie Nights,Boogie Nights,1997,Drama
Bulworth (1998),Bulworth,Bulworth,1998,"Comedy,Drama,Romance"
Butcher Boy (The) (1997),Butcher Boy,The Butcher Boy,1997,"Comedy,Drama"
Chasing Amy (1997),Chasing Amy,Chasing Amy,1997,"Comedy,Drama,Romance"
Contact (1997),Contact,Contact,1997,"Drama,Mystery,Sci-Fi"
Cousin Bette (1998),Cousin Bette,Cousin Bette,1998,"Comedy,Drama,Romance"
Deconstructing Harry (1997),Deconstructing Harry,Deconstructing Harry,1997,Comedy
Devil's Advocate (The) (1997),Devil's Advocate,The Devil's Advocate,1997,"Drama,Mystery,Thriller"
Devil's Own (The) (1997),Devil's Own,The Devil's Own,1997,"Action,Crime,Drama"
Onegin (1999),Onegin,Onegin,1999,"Drama,Romance"
Face/Off (1997),Face/Off,Face/Off,1997,"Action,Crime,Sci-Fi"
FairyTale: A True Story (1997),FairyTale: A True Story,FairyTale: A True Story,1997,"Drama,Family,Fantasy"
Fifth Element (The) (1997),Fifth Element,The Fifth Element,1997,"Action,Adventure,Sci-Fi"
Flubber (1997),Flubber,Flubber,1997,"Comedy,Family,Sci-Fi"
Funny Games (1997),Funny Games,Funny Games,1997,"Crime,Drama,Thriller"
G.I. Jane (1997),G.I. Jane,G.I. Jane,1997,"Action,Drama,War"
Game (The) (1997),Game,The Game,1997,"Action,Drama,Mystery"
Gattaca (1997),Gattaca,Gattaca,1997,"Drama,Sci-Fi,Thriller"
George of the Jungle (1997),George of the Jungle,George of the Jungle,1997,"Action,Adventure,Comedy"
Good Will Hunting (1997),Good Will Hunting,Good Will Hunting,1997,"Drama,Romance"
Heaven's Burning (1997),Heaven's Burning,Heaven's Burning,1997,"Action,Crime,Drama"
Hoodlum (1997),Hoodlum,Hoodlum,1997,"Crime,Drama"
Horse Whisperer (The) (1998),Horse Whisperer,The Horse Whisperer,1998,"Drama,Romance,Western"
I Married a Strange Person! (1997),I Married a Strange Person!,I Married a Strange Person!,1997,"Animation,Comedy,Drama"
Ice Storm (The) (1997),Ice Storm,The Ice Storm,1997,Drama
In & Out (1997),In & Out,In & Out,1997,"Comedy,Romance"
Jungle 2 Jungle (1997),Jungle 2 Jungle,Jungle 2 Jungle,1997,"Comedy,Family"
Kiss the Girls (1997),Kiss the Girls,Kiss the Girls,1997,"Crime,Drama,Mystery"
L.A. Confidential (1997),L.A. Confidential,L.A. Confidential,1997,"Crime,Drama,Mystery"
Last Way Out (The) (1997),Last Way Out,The Last Way Out,1997,Thriller
Lost World: Jurassic Park (The) (1997),Lost World: Jurassic Park,The Lost World: Jurassic Park,1997,"Action,Adventure,Sci-Fi"
Mad City (1997),Mad City,Mad City,1997,"Crime,Drama,Thriller"
Meet Joe Black (1998),Meet Joe Black,Meet Joe Black,1998,"Drama,Fantasy,Romance"
Metroland (1997),Metroland,Metroland,1997,"Comedy,Drama"
Money Talks (1997),Money Talks,Money Talks,1997,"Action,Comedy,Crime"
Mousehunt (1997),Mousehunt,Mousehunt,1997,Comedy
My Best Friend's Wedding (1997),My Best Friend's Wedding,My Best Friend's Wedding,1997,"Comedy,Drama,Romance"
Myth of Fingerprints (The) (1997),Myth of Fingerprints,The Myth of Fingerprints,1997,"Comedy,Drama,Romance"
Nothing to Lose (1997),Nothing to Lose,Nothing to Lose,1997,"Action,Adventure,Comedy"
One Night Stand (1997),One Night Stand,One Night Stand,1997,"Drama,Romance"
Oscar and Lucinda (1997),Oscar and Lucinda,Oscar and Lucinda,1997,"Drama,Romance"
"Other Voices, Other Rooms (1995)","Other Voices, Other Rooms","Other Voices, Other Rooms",1995,Drama
Out to Sea (1997),Out to Sea,Out to Sea,1997,"Comedy,Romance"
Paradise Road (1997),Paradise Road,Paradise Road,1997,"Drama,History,War"
Peacemaker (The) (1997),Peacemaker,The Peacemaker,1997,"Action,Thriller"
Perdita Durango (1997),Perdita Durango,Perdita Durango,1997,"Action,Crime,Horror"
Picture Perfect (1997),Picture Perfect,Picture Perfect,1997,"Comedy,Drama,Romance"
Relic (The) (1997),Relic,The Relic,1997,"Horror,Mystery,Sci-Fi"
Romy and Michele's High School Reunion (1997),Romy and Michele's High School Reunion,Romy and Michele's High School Reunion,1997,Comedy
Tinseltown (1997),Tinseltown,Tinseltown,1997,"Comedy,Crime,Drama"
Seven Years in Tibet (1997),Seven Years in Tibet,Seven Years in Tibet,1997,"Adventure,Biography,Drama"
Proposition (The) (1998),Proposition,The Proposition,1998,"Drama,Romance"
Shooting Fish (1997),Shooting Fish,Shooting Fish,1997,"Comedy,Crime,Romance"
Barber of Siberia (The) (Sibirskiy tsiryulnik) (1998),Barber of Siberia,The Barber of Siberia,1998,"Comedy,Drama,History"
Speed 2: Cruise Control (1997),Speed 2: Cruise Control,Speed 2: Cruise Control,1997,"Action,Adventure,Crime"
Sphere (1998),Sphere,Sphere,1998,"Action,Mystery,Sci-Fi"
Spice World (1997),Spice World,Spice World,1997,"Comedy,Family,Music"
Three Kings (1999),Three Kings,Three Kings,1999,"Action,Adventure,Comedy"
Still Breathing (1997),Still Breathing,Still Breathing,1997,"Comedy,Drama,Fantasy"
Suicide Kings (1997),Suicide Kings,Suicide Kings,1997,"Comedy,Crime,Drama"
Talk of Angels (1998),Talk of Angels,Talk of Angels,1998,"Drama,Romance,War"
Titanic (1997),Titanic,Titanic,1997,"Drama,Romance"
Tomorrow Never Dies (1997),Tomorrow Never Dies,Tomorrow Never Dies,1997,"Action,Adventure,Thriller"
Toy Story 2 (1999),Toy Story 2,Toy Story 2,1999,"Adventure,Animation,Comedy"
Truman Show (The) (1998),Truman Show,The Truman Show,1998,"Comedy,Drama"
U Turn (1997),U Turn,U Turn,1997,"Crime,Drama,Thriller"
Urban Ghost Story (1998),Urban Ghost Story,Urban Ghost Story,1998,"Drama,Horror,Thriller"
Welcome to Sarajevo (1997),Welcome to Sarajevo,Welcome to Sarajevo,1997,"Drama,War"
Well (The) (1997),Well,The Well,1997,Drama
Winter Sleepers (1997),Winter Sleepers,Winter Sleepers,1997,"Drama,Romance,Thriller"
Wishmaster (1997),Wishmaster,Wishmaster,1997,"Fantasy,Horror"
Armageddon (1998),Armageddon,Armageddon,1998,"Action,Adventure,Sci-Fi"
Babe: Pig in the City (1998),Babe: Pig in the City,Babe: Pig in the City,1998,"Adventure,Comedy,Drama"
Being John Malkovich (1999),Being John Malkovich,Being John Malkovich,1999,"Comedy,Drama,Fantasy"
Big Hit (The) (1998),Big Hit,The Big Hit,1998,"Action,Comedy,Crime"
Brokedown Palace (1999),Brokedown Palace,Brokedown Palace,1999,"Drama,Mystery,Thriller"
Chicken Run (2000),Chicken Run,Chicken Run,2000,"Adventure,Animation,Comedy"
Deep Impact (1998),Deep Impact,Deep Impact,1998,"Action,Drama,Sci-Fi"
Eyes Wide Shut (1999),Eyes Wide Shut,Eyes Wide Shut,1999,"Drama,Mystery,Thriller"
Gloria (1999),Gloria,Gloria,1999,"Crime,Drama,Thriller"
Stepmom (1998),Stepmom,Stepmom,1998,"Comedy,Drama"
Hi-Lo Country (The) (1998),Hi-Lo Country,The Hi-Lo Country,1998,"Drama,Romance,Western"
Holy Man (1998),Holy Man,Holy Man,1998,"Comedy,Drama"
Jakob the Liar (1999),Jakob the Liar,Jakob the Liar,1999,"Drama,War"
Legend of 1900 (The) (1998),Legend of 1900,The Legend of 1900,1998,"Drama,Music,Romance"
My Favorite Martian (1999),My Favorite Martian,My Favorite Martian,1999,"Comedy,Family,Sci-Fi"
Pushing Tin (1999),Pushing Tin,Pushing Tin,1999,"Comedy,Drama,Romance"
Snow Falling on Cedars (1999),Snow Falling on Cedars,Snow Falling on Cedars,1999,"Drama,Mystery,Romance"
Sour Grapes (1998),Sour Grapes,Sour Grapes,1998,Comedy
Star Trek: Insurrection (1998),Star Trek: Insurrection,Star Trek: Insurrection,1998,"Action,Adventure,Sci-Fi"
Tea with Mussolini (1999),Tea with Mussolini,Tea with Mussolini,1999,"Comedy,Drama,War"
Thin Red Line (The) (1998),Thin Red Line,The Thin Red Line,1998,"Drama,History,War"
Velvet Goldmine (1998),Velvet Goldmine,Velvet Goldmine,1998,"Drama,Music"
What Dreams May Come (1998),What Dreams May Come,What Dreams May Come,1998,"Drama,Fantasy,Romance"
My Life So Far (1999),My Life So Far,My Life So Far,1999,"Biography,Comedy,Drama"
Return to Me (2000),Return to Me,Return to Me,2000,"Comedy,Drama,Romance"
Ronin (1998),Ronin,Ronin,1998,"Action,Crime,Thriller"
Analyze This (1999),Analyze This,Analyze This,1999,"Comedy,Crime"
Other Sister (The) (1999),Other Sister,The Other Sister,1999,"Comedy,Drama,Romance"
Two Girls and a Guy (1997),Two Girls and a Guy,Two Girls and a Guy,1997,"Comedy,Drama"
Cider House Rules (The) (1999),Cider House Rules,The Cider House Rules,1999,"Drama,Romance"
He Got Game (1998),He Got Game,He Got Game,1998,"Drama,Sport"
Heartbreakers (2001),Heartbreakers,Heartbreakers,2001,"Comedy,Crime,Romance"
Man on the Moon (1999),Man on the Moon,Man on the Moon,1999,"Biography,Comedy,Drama"
Legionnaire (1998),Legionnaire,Legionnaire,1998,"Action,Adventure,Drama"
Loss of Sexual Innocence (The) (1999),Loss of Sexual Innocence,The Loss of Sexual Innocence,1999,Drama
Elizabeth (1998),Elizabeth,Elizabeth,1998,"Biography,Drama,History"
Patch Adams (1998),Patch Adams,Patch Adams,1998,"Biography,Comedy,Drama"
There's Something About Mary (1998),There's Something About Mary,There's Something About Mary,1998,"Comedy,Romance"
Charades (Felons) (1998),Charades,Charades,1998,"Drama,Mystery"
Run Lola Run (Lola rennt) (1998),Run Lola Run,Run Lola Run,1998,"Crime,Drama,Thriller"
Bowfinger (1999),Bowfinger,Bowfinger,1999,Comedy
Mystery Men (1999),Mystery Men,Mystery Men,1999,"Action,Comedy,Fantasy"
At First Sight (1999),At First Sight,At First Sight,1999,"Drama,Romance"
Teaching Mrs. Tingle (1999),Teaching Mrs. Tingle,Teaching Mrs. Tingle,1999,"Comedy,Thriller"
SLC Punk! (1998),SLC Punk!,SLC Punk!,1998,"Comedy,Drama,Music"
